"Ctrl_F1","Ctrl_F2","AIS_M1","Ctrl_M1","AIS_M2","Ctrl_M2","Ctrl_M3","AIS_M3","AIS_M4","AIS_M5","AIS_M6","Ctrl_M4","AIS_M7","Ctrl_F3","AIS_M8","AIS_M9","Ctrl_F4","AIS_M10","Ctrl_M5","AIS_F1","Ctrl_F5","Ctrl_F6","AIS_F2","AIS_F3","AIS_F4","AIS_F5","AIS_F6","Ctrl_F7"
"ENSG00000154537",6.19362901013843,337.919678104608,433.847795008817,5.52067279802979,8.12375785447783,6.34887440380845,6.84061162847859,166.509551761609,0,9.0036797188145,245.030906066143,260.356261569451,5.00756369749184,29.1222644612035,2.50046069244811,9.98820820002723,64.9342529345346,103.649805145847,99.8977598436587,156.675819721653,8.60517204271566,742.754173860336,7.9549401754627,276.564835711105,4.71016506775616,18.6329752655049,9.69641484459342,148.607402938489
"ENSG00000162947",2274.61025397334,1027.3748455195,945.304726368184,651.439390167515,839.246676812594,1032.32697805925,1385.60388874627,1303.73436272919,1005.04095182819,1207.24338896438,1818.22296539527,1852.17614093707,1430.91132655829,755.068566972363,517.595363336758,1290.47649944352,910.834520892526,1623.06172148838,1568.39482954544,397.285114294191,925.593817844603,1770.29492215417,2081.80784391859,1248.84388036659,1163.41077173577,866.876992114206,1349.01371525406,2252.5753708571
"ENSG00000163009",2457.32230977242,2988.05165913745,2900.80050621731,1470.70723339514,3585.0768316261,2130.68224991812,2312.12673042576,2496.93472514004,2718.55339428936,3098.76643655866,3169.79471477922,2859.67854727098,5340.56668337505,3242.70083848444,3583.16017227814,2574.96007396702,2575.14037313352,2991.71028489151,1693.26702935002,2290.45126926416,5033.48782173599,3044.13757266075,3945.6503270295,5236.29422279693,3125.9795499675,2337.99475355264,2533.18837815003,3177.4609180927
"ENSG00000163364",29.4197377981575,217.852979290883,68.7031698840941,150.714367386213,561.789100859659,203.163980921871,221.179775987474,129.664884988827,262.440435898929,615.251447452324,215.377484312916,11.0248579817683,22.5340366387133,93.2756586366082,457.584306718003,15.9811331200436,37.4395692595515,548.087605998496,4.99488799218294,230.03989403576,192.540724455763,66.9633296640924,423.202817334615,186.834911235947,113.043961626148,11.9783412421103,272.71166750419,527.947352544633
"ENSG00000163597",721.557779681127,180.718948729937,3.81684277133856,1.65620183940894,4.99923560275559,8.88842416533183,1.52013591743969,75.106436113747,2.35372588250161,364.649028611987,248.152318882273,2.54419799579268,7.51134554623776,285.735841162823,42.5078317716178,2.66352218667393,4.09495288776344,198.662126529541,0,115.01994701788,2.15129301067892,4.61816066648913,20.682844456203,2.45835409520983,1.57005502258539,26.1748938253522,1.21205185557418,21.5089662147814
"ENSG00000164385",1051.368524471,558.248259432887,10.1782473902362,264.440227025627,248.087066786746,205.703530683394,190.777057638681,250.827154568551,382.480455906511,21.0085860105672,6.24282563225843,418.096537308598,32.549164033697,152.786372970372,37.5069103867216,653.22881628178,418.270187821552,211.225739274492,177.318523722494,131.806641988057,367.871104826095,23.8604967768605,447.86313187855,538.379546850952,11.7754126693904,249.770597011412,261.803200804022,602.251054013878
"ENSG00000166770",6497.11683163521,4472.17508055658,5970.81437529729,1504.38333746312,4896.12636844875,4116.6101634294,1314.91756858533,4247.76494813126,2875.07616547571,2131.62117342933,889.602652596826,4879.77175593037,5291.7429373245,514.91540061838,1670.30774255534,1604.10623692437,3064.19474658642,595.201153792063,1828.12900513895,1564.89300888651,2510.55894346229,5444.81142579069,4558.18072054012,2157.20571854662,3224.10798887909,1695.60074916095,3793.72230794718,8292.6841560807
"ENSG00000167117",13.9356652728115,16.0914132430766,15.2673710853542,68.4563426955694,302.453753966713,286.969123052142,274.384533097863,14.879576965931,180.060030011373,21.0085860105672,215.377484312916,595.342331015488,153.982583697874,54.8680344921225,32.5059890018254,1132.66280988309,402.475369540178,12.5636127449512,484.504135241745,11.1911299801181,6.45387903203675,367.913466430301,499.570243019057,9.8334163808393,491.427222069226,339.386335193126,19.3928296891868,54.7500958194435
"ENSG00000167459",280.261712708764,575.577473694661,580.160101243461,1127.32138535768,339.94802098738,755.516054053206,855.076453559824,342.938821500505,680.226780042964,1022.66795472868,586.825609432292,1170.33107806463,1941.68282370246,434.723657899124,421.744370126247,1695.99775236462,530.003902330526,39.2612898279725,414.575703351184,574.47800564606,324.307421359847,2115.88727869644,675.374420896783,726.443635134503,927.902518347963,186.773394923276,678.749039121539,774.322783732129
"ENSG00000168367",645.685824306931,717.924590844954,1207.39459666677,653.095592006924,1035.46667422075,1384.05462003024,694.702114269937,1295.23174732009,1172.1554894858,1074.43911311186,341.794703366149,1687.65133720915,1761.41053059275,608.191059254989,383.403972842043,1113.3522740297,876.319917981377,1994.473523261,966.510826487398,1821.04553954254,937.963752656007,720.433063972305,763.674256844419,1098.88428055879,1694.87439688092,410.369098109335,376.948127083569,917.064104975678
"ENSG00000168746",512.522800588955,526.065432946733,321.887073716219,548.754876124161,33.1199358682558,396.169762797647,149.733387867809,561.172617000827,1754.70264540495,750.306643234542,607.114792737132,668.276006894878,1075.37430403637,2587.23885720547,550.101352338583,106.540887466957,717.786741897963,74.5964506731478,247.246955613055,617.377337236513,748.112144463593,40.7937525539874,1139.9429271438,467.087278089867,928.687545859256,1923.18923276105,707.83828365532,316.76841152678
"ENSG00000170161",0,0,0,0.552067279802979,0,0,0,0.708551284091953,1.1768629412508,0,0,0,0,2.9544326264989,0.833486897482702,0,146.833310689803,0,0,0,0,0.769693444414856,0,0,0,0,0,0
"ENSG00000170590",3.09681450506921,2.47560203739639,1.27228092377952,1.65620183940894,2.49961780137779,5.07909952304676,3.04027183487937,3.54275642045976,600.20010003791,201.082180386857,6.24282563225843,1.69613199719512,12.5189092437296,29.544326264989,362.566800404975,14.6493720267066,5.26493942712443,3.1409031862378,4.99488799218294,1.24345888667978,3.7647627686881,3.84846722207428,3.18197607018508,2.45835409520983,7.85027511292693,68.7645515750778,3.63615556672253,0
"ENSG00000170846",970.851347339199,748.869616312409,73.7922935792122,221.378979200995,408.687510525269,21.5861729729487,333.669833878011,676.666476307815,14.1223552950096,789.322588682738,131.099338277427,1268.70673390195,235.355493782116,173.045339552079,312.557586556013,252.368727187355,445.179878226854,385.54586611069,264.729063585696,364.333453797177,26.8911626334864,1341.57567361509,29.433278649212,352.77381266261,356.402490126883,169.027704194223,210.897022869907,166.20564802331
"ENSG00000170983",724.654594186196,158.438530393369,801.536981981098,533.849059569481,355.570632245991,2274.16681144419,12.9211552982373,2314.83704512841,1323.97080890715,1029.42071451779,1187.69757653717,1451.04092360043,2322.25766471184,49.8032928466958,25.0046069244811,6.65880546668482,148.588290498845,1170.77166267014,499.488799218294,2068.49385799182,1659.72255773878,3903.88515007215,2423.87027146348,1245.15634922378,2172.95615125817,3.99278041403677,1158.72157392891,991.367806444923
"ENSG00000172965",6941.50971311264,7087.64863306587,4711.25626075557,3989.23816385633,4923.62216426391,7228.8283961763,3565.47879435478,7025.9945330558,4128.43519790782,9863.53113196129,8452.78590607791,6591.16894110025,8095.97860791993,5334.43913804566,9612.604388668,12280.1690416601,6553.67960023055,5364.66264209417,7327.50068453237,8836.64057818988,5192.14568127356,6689.40572540951,5284.46675855987,6070.90543812066,6740.24621195906,6994.02035858775,9117.05405762896,8597.7204042176
"ENSG00000173862",0,0,0,36.9885077467996,1.2498089006889,0,0,0.708551284091953,0,0,0,0,0,37.5635005369146,0.833486897482702,1.33176109333696,0.584993269680492,0.78522579655945,0,0.621729443339892,0.537823252669729,0,1.59098803509254,0,1.57005502258539,631.746589954263,1.21205185557418,0
"ENSG00000174365",7.74203626267304,205.474969103901,245.550218289448,119.798599717246,21.2467513117113,142.214786645309,557.889881700365,12.0453718295632,31.7752994137717,11.2545996485181,188.845475375818,496.118609179573,8.76323647061072,120.709675882669,373.402130072251,413.511819481127,104.713795272808,376.123156551977,134.861975788939,102.585358151082,207.599775530515,14.6241754438823,13.5233982982866,266.731419330266,70.6524760163423,89.172095913488,191.50419318072,482.97405955009
