Gene_ID	Ctrl_F1	Ctrl_F2	AIS_M1	Ctrl_M1	AIS_M2	Ctrl_M2	Ctrl_M3	AIS_M3	AIS_M4	AIS_M5	AIS_M6	Ctrl_M4	AIS_M7	Ctrl_F3	AIS_M8	AIS_M9	Ctrl_F4	AIS_M10	Ctrl_M5	AIS_F1	Ctrl_F5	Ctrl_F6	AIS_F2	AIS_F3	AIS_F4	AIS_F5	AIS_F6	Ctrl_F7
ENSG00000255146	0	146	1	1	0	1	185	0	0	2	0	0	0	1	607	399	0	2	0	249	2	0	0	0	0	0	0	0
ENSG00000255160	11	153	404	122	6	2	578	310	2	274	2	12	5	121	10	13	68	8	12	308	20	18	6	7	37	5034	2	90
ENSG00000255169	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000255171	429	1011	111	2598	1795	32	787	219	81	1148.5	158	1898	375	4010	1396	838	1587	393	324	906	735	2848	650	703	2796.5	7278	583	1184.5
ENSG00000255175	0	0	261	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000255178	0	1	0	0	6	0	0	2	0	1	0	2	0	0	0	1	1	1	1	0	0	1	0	2	1	16	0	0
ENSG00000255179	1	6	0	2	2	15	6	1	133	386	3	1	3	15	462	13	20	1	1	3	7	4	6	2	1	33	1	0
ENSG00000255183	0	0	0	217	0	0	0	2	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	392	0	0
ENSG00000255187	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255191	1	0	1	0	2	0	0	2	3	1	2	0	2	3	1	8	20	67	2	1	3	15	2	1	25	94	0	0
ENSG00000255193	220	209	203	2105	1701.5	1244.5	808	118	1761	748	1278	1879	410	3663	1972	1051	1483	862	81	1522	1126	2775.5	604	156	746	2047	100	306
ENSG00000255198	3	118	363	3	8	3	9	3	175	9	8	7	4	12	18	0	10	13	3	341	1	6	19	179	8	17	2	3
ENSG00000255209	1	0	0	0	2	1	0	0	3	0	0	0	0	0	3	0	99	0	20	1	2	2	0	1	1	1	0	0
ENSG00000255216	0	0	0	0	0	1	2	0	0	0	0	1	0	0	3	0	0	2	0	0	1	0	0	1	0	0	1	0
ENSG00000255226	184	74	2	295	3	2	4	2	2	9	95	9	389	864	100	600	7	3	73	5	8	810	6	2	6	30	4	0
ENSG00000255227	1	0	1	0	2	0	0	165	1	0	0	0	0	0	0	1	0	0	0	1	0	2	3	0	0	0	0	0
ENSG00000255233	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255243	0	4	0	0	1	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	3	0	4	1	0	1	0	0
ENSG00000255246	0	0	0	0	0	1	0	0	0	320	0	3	1	0	0	1	3	0	0	0	2	0	3	0	0	0	0	0
ENSG00000255247	1	1	5	3	3	2	2	3	1	1	0	3	6	293	41	6	6	0	0	3	4	5	0	3	4	3	27	2
ENSG00000255248	5670.5	5264.5	9321.5	18056.62171	15439	5938	10248	8727	6172	8887	4689	6616	7811	18824	8975	28774	9193.5	9284	3439	13491	13423	17245	11644.5	8989	7268	15367	7632	3874
ENSG00000255250	0	0	0	3	0	0	1	0	0	4	0	1	3	0	1	3	2	2	0	1	0	1	1	2	1	625	3	0
ENSG00000255257	2	2	2	1	361	166	3	4	0	2	3	0	1	103	289	6	139	1	36	4	1	0	228	1	1	40	1	1
ENSG00000255258	262	359	205	5250	560	144	336	149	382	1609	321	483	497	870	597	425	539	356	144	1378	493	1185	500	663	1681	1530	290	217
ENSG00000255260	2	94	119	1	2	1	4	1	1	0	0	3	0	21	1	1	1	6	0	1	4	5	0	2	1	3	130	1
ENSG00000255267	1	4	1	154	1694	1	2	3	1	1	2	0	0	0	2	0	1	2	0	2	364	0	1	0	2	21	2	1
ENSG00000255269	0	1	2	0	1	1	0	103	1	3	1	0	1	28	1	0	0	0	1	213	0	3	505	0	3	0	2	1
ENSG00000255271	5	138	679	281	16	212	13	10	69	191	251	196	701	645	195	650	66	310	7	341	12	1100	532	566	786	560	5	496
ENSG00000255279	169	186	455	8	6	5	304	12	10	177	2	11	9	220	25	1047	455	14	39	13	24	603	1022	199	597	412	191	11
ENSG00000255284	997	425	1041	1365	2452	1379	3777	2068	920	3135	1059	1976	1015	1368	1444	3606	2554	2379	745	3981	1530	994	2123	3621	544	1047	1970	1048
ENSG00000255289	0	2	4	124	2	1	0	0	0	0	1	1	3	124	13	4	3	10	3	1	3	1	0	2	7	1	4	1
ENSG00000255299	4	10	0	2	11	4	250	186	207	4	1	3	0	187	13	12	670	0	39	247	474	6	3	2	6	119	2	6
ENSG00000255300	1499	1228	964	7189	5314	2194	2070	922	905	1121	701	1224	436	10625	2670.5	2309.5	1136	1476	330	3447.5	714	2048.5	2279	843	3267	6085	1098	1128
ENSG00000255313	2	5	0	20	4	136	232	188	223	6	2	8	6	79	131	6	156	3	65	298	1	3	3	6	1	2	3	1
ENSG00000255314	322	128	572	741	1238	552	36	574	358	794	11	200	964.9501915	1682	61	26	485	321	146	537	42	1304	87	490	29	1117	249	15
ENSG00000255318	3	279	35	192	7	167	51	3	105	1821	2	164.5	231	1219.383352	1035	865	1770	537	82	8	7	4	12	148	6	1712	7	145
ENSG00000255323	1	0	0	0	0	0	112	1	162	4	99	280	2	0	0	1	1	0	0	386	2	8	0	0	0	2	0	0
ENSG00000255325	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255327	0	2	2	2908	1	2	205	0	0	124	0	1	5	796	42	3	0	1	1	0	2	0	0	1	0	2	0	0
ENSG00000255328	11	1	0	48	3	2	1	4	120	13	1	6	1	90	6	8	2	2	1	250	6	3	1	8	4	93	1	0
ENSG00000255332	150	259	18	843	72.5	235	606	476	20	68	88	27	27	1415	270	997	154	218	113	89	37	34	688	230	382	607	87	81
ENSG00000255344	0	0	0	3	1	0	3	3	0	0	0	1	0	5	1	0	9	0	3	0	9	1	0	0	2	0	0	0
ENSG00000255345	78	103	35	246	32	153	26	168	347	37	119	28	31	122	410	451	36	30	11	524	695	43	1423	86	373	333	161	165
ENSG00000255355	7	252	6	268	569	841	8	683	569	415	129	571	2450	303	281	78	24	403	45	401	629	504	19	329	462	1065	616	167
ENSG00000255357	1	9	296	142	6	3	256	219	296	8	2	5	696	1203	19	14	48	2	2	237	4	5	9	3	2	349	249	158
ENSG00000255362	1	1	0	0	0	2	0	3	0	0	0	0	2	0	0	0	1	6	0	1	0	4	2	0	2	0	0	0
ENSG00000255363	188	12	20	178	851	111	481	510	8	356	10	243	15	434	378	39	868	677	180	235	30	1335	1136	168	527	352	106	10
ENSG00000255364	215	3	5	1179	5	6	5	4	4	7	5	8	11	314	6	8	4	10	2	278	11	1	5	170	2354	1370	5	2
ENSG00000255366	1	3	1	125	3	0	5	5	64	200	111	168	3	1	5	4	10	4	1	260	3	1	10	6	8	2	2	2
ENSG00000255375	11	274	565	469	26	18	217	899	82	204	376	427	207	470	157	973	287	123	10	1044	517	683	13	527	41	424	205	287
ENSG00000255382	3182	3800	5050	2683	4559	4011	609	3757	2670	2170	718	4426	2764	477	1239	2110	4734	13	492	2817	3229	3169	3812	1610	2841	3658	1787	1668
ENSG00000255384	0	1	0	1	5	0	1	1	1	0	0	1	0	81	1	4	4	4	0	2	4	5	3	4	2	22	1	1
ENSG00000255388	659	1646.5	331	5218	4641.5	2598	3595.5	3133	891	1541	964	1447.5	1727	9135	2247.5	3172.5	3807	971	834	782	1859	4316.5	4473	3306	6340	7403.5	1954	2102
ENSG00000255393	3	1	3	476	1	4	227	8	6	3	2	375	1	170	3	7	0	650	0	6	668	0	3	0	3	596	125	1
ENSG00000255394	130	1250	3	205	434	237	9	544	298	252	132	300	467	1433	104	656	236	649	124	849	523	1111	3001	19	948	1553	6	167
ENSG00000255400	0	1	0	1	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
