"","Ctrl_F1","Ctrl_F2","Ctrl_F3","Ctrl_F4","Ctrl_F5","Ctrl_F6","Ctrl_F7","Ctrl_M1","Ctrl_M2","Ctrl_M3","Ctrl_M4","Ctrl_M5","AIS_F1","AIS_F2","AIS_F3","AIS_F4","AIS_F5","AIS_F6","AIS_M1","AIS_M2","AIS_M3","AIS_M4","AIS_M5","AIS_M6","AIS_M7","AIS_M8","AIS_M9","AIS_M10"
"MI0017304",-0.730106703482293,-0.0556567580215013,-0.0736847552036496,-0.914850218114943,-0.91465242440756,-0.918840352913201,-0.551367961277466,-0.906643588994211,-0.903220631097715,-0.90992486100539,-0.268356986441895,-0.908998721706177,-0.913202457824332,1.09488316285965,-0.489546781738904,-0.915451994735104,-0.840114070723486,-0.907441907367277,-0.911529692590528,-0.907779424497574,-0.916822586513581,-0.910021095606437,-0.91675171262501,-0.907698892524947,-0.654362253398063,-0.914496540497587,-0.917332529360243,-0.912959864705882
"MIMAT0005788",-0.209832586696885,-0.54770060816592,-0.099084381736898,3.547559409239,-0.195918718737906,-0.879260097344383,-0.741899238907045,4.96944870547329,-0.584333682338463,-0.742019119669051,3.81067471367605,-0.72997000710392,-0.787532394034847,-0.812660731454727,-0.713661013644891,0.0773534430248005,6.89405028258728,0.277086505635925,-0.763712016320025,-0.714699330454506,-0.844099908673102,-0.743290198805029,-0.396965485958177,0.264095271593114,-0.788487697544993,-0.806904732988653,-0.852710559169272,-0.783995713444156
"MI0016064",1.83736972909432,1.18351387622825,1.22971659620085,2.13785875521097,3.57268174316405,1.27330868397634,1.16280198296966,1.17227151639545,1.86802318753177,2.0744858970851,1.47827286190834,1.47682228494493,1.52801671080674,1.56546843347707,1.16930055558124,1.62199442809595,4.01436438405538,1.17001019341688,4.09906965734868,1.91676281899132,1.25414324593899,3.94241916544221,3.76715207712558,1.16928354913051,1.36267897382069,1.14927071607398,1.14085042247387,1.1538190105463
"MI0016056",0.145394242028629,0.00276469883061992,0.253874081224741,-0.0938522832166832,1.20805399027598,-0.00166427837500194,0.556558693653154,-0.0259161837371755,4.28530928250898,4.42927688860151,0.969180423691836,0.597724387149616,0.692322151596071,0.293988801419801,1.67843248941185,-0.0993270721257603,1.697130850235,4.40713953920232,-0.0648788867032878,-0.0344430545889011,0.162704333592132,0.551711911578648,-0.111409604029574,-0.0338345290177225,-0.0797926926111534,-0.090668434802288,0.3087146564294,0.937320923323745
"MI0000288",2.53241366278973,1.9766521493903,1.61661259190463,3.19232314942999,1.9336589398067,1.87306991616681,2.42127281323235,1.55624493980231,4.88374573223577,2.01467162778433,1.83979670660657,3.98473610833372,1.53640880573301,1.68500628067171,2.09291880924297,2.59229669962579,3.48996844453906,3.11159254222531,1.541507582023,1.55290669843401,4.28717019065663,4.52470193347439,1.52558652136433,1.86893222502726,1.53621009092722,3.04266397110778,1.88512760437577,2.32635185054716
"MIMAT0019208",0.872686131521022,0.843552310592415,0.903936810609976,2.87650798864689,0.815679317408303,2.51967293282868,0.826921682052169,4.11736491568741,0.841352722789813,0.826900173502244,0.829226889718901,0.8290901579,0.819128520218968,0.815161309772841,0.832141371835024,3.6923337383261,0.851328308008767,0.832711280194991,0.823099131077148,2.43853138663508,0.810503416796096,0.826672465332597,1.01693066029779,2.70690479728938,0.81897360088598,0.816050476257185,0.809284763621228,0.819704921400743
"MI0000294",0.83082918788463,0.63497326522247,0.895027900066107,1.03356870407332,0.800566240941476,0.447748814563224,0.493870571554453,1.57078151439272,0.613737741035188,0.493824235153363,1.07459410676242,0.498538455648118,1.16362522077251,0.468427162307294,1.12616734255791,0.465412046936575,1.40274028997923,1.13600906641713,0.485624196788442,0.50858917190288,0.675571057092323,0.493333633415336,0.458659414025764,0.510906977680243,16.9434020372826,1.06280059712241,0.455632732762884,1.18155840746288
"MI0022707",0.322148356440881,0.226937708382096,1.37032071973847,3.02969262421145,0.491408600436272,0.228858526100016,0.183441140383936,3.64418921346064,0.221373957066232,8.12640412516138,0.749080032553292,1.07612848406354,0.161797393506919,0.15042425924918,0.197463210975901,0.146387276888725,1.05922290847627,0.804865094908558,4.00841408309905,0.196942010117207,0.54270728259596,0.182762483824382,0.371362314463811,0.197426986042601,0.161357955102619,0.152995342670719,0.13309408826806,0.163429129471426
"MIMAT0005796",-0.0514161466675895,-0.0566615517060601,0.603158964828944,0.208878545783919,-0.059208224414328,-0.060062922866593,-0.0582109448055618,-0.0575135659318117,-0.0568716886737424,-0.0582128907069128,0.225422057303015,-0.0580140036413302,-0.0589064464513834,-0.0592532294161275,-0.0577343401179925,-0.0593733350951662,-0.0558412469122563,-0.0576817716612215,-0.0585544736747995,-0.0577524339724438,-0.0596542307456909,-0.0582334826851444,-0.00879292312395916,0.251577346324377,0.272542741383074,0.163096898291896,1.0518061050149,0.0443045664091247
"MIMAT0004677",0.573174408395092,0.567906412560907,1.67889058991142,1.03706162351875,0.562776303618834,0.561040686979276,0.564792550329264,0.566196867177389,0.567485402201275,0.717230473736673,0.861994991356807,0.565189596160503,0.670356503202877,0.562685089887001,0.565752787104155,0.56244157027672,0.569417593773469,0.565858568254668,0.564099094502677,0.565716371653993,2.03335596722677,0.564747089144907,1.66389135500528,0.747664141749546,0.669400716445168,0.651198524884103,0.728615390450258,1.0439300618114
